ID,monthly_income,immovables,has_tesla,employment_situation,credit_score
246577,>1000,>2,yes,employee,950
230840,>1000,>2,yes,employee,950
224632,>1000,>2,yes,employee,950
235942,>1000,>2,yes,employee,950
229984,>1000,>2,yes,employee,950
249991,<1000,>2,yes,employee,900
234691,<1000,>2,yes,employee,900
8031,<1000,>2,yes,employee,900
13424,<1000,>2,yes,employee,900
18812,<1000,>2,yes,employee,900
246255,>1000,1-2,yes,employee,900
659,>1000,1-2,yes,employee,900
6018,>1000,1-2,yes,employee,900
11393,>1000,1-2,yes,employee,900
65,>1000,>2,yes,self-employed,850
266,>1000,>2,yes,self-employed,850
630,>1000,>2,yes,self-employed,850
923,>1000,>2,yes,self-employed,850
222998,<1000,1-2,yes,employee,850
250201,<1000,1-2,yes,employee,850
248529,<1000,1-2,yes,employee,850
251468,<1000,1-2,yes,employee,850
251668,>1000,>2,yes,self-employed,850
251961,>1000,>2,yes,self-employed,850
50,>1000,1-2,yes,self-employed,800
63,>1000,1-2,yes,self-employed,800
64,>1000,1-2,yes,self-employed,800
217808,<1000,>2,yes,self-employed,800
218088,<1000,>2,yes,self-employed,800
220743,<1000,>2,yes,self-employed,800
228080,<1000,>2,yes,self-employed,800
241871,<1000,>2,yes,self-employed,800
244676,<1000,>2,yes,self-employed,800
246262,<1000,>2,yes,self-employed,800
247713,<1000,>2,yes,self-employed,800
251972,>1000,1-2,yes,self-employed,800
91,<1000,1-2,yes,self-employed,750
343,<1000,1-2,yes,self-employed,750
509,<1000,1-2,yes,self-employed,750
1091,<1000,1-2,yes,self-employed,750
4858,>1000,>2,no,employee,700
10238,>1000,>2,no,employee,700
15654,>1000,>2,no,employee,700
21006,>1000,>2,no,employee,700
26390,>1000,>2,no,employee,700
225740,>1000,0,yes,employee,700
243867,>1000,0,yes,employee,700
230188,>1000,0,yes,employee,700
218881,>1000,0,yes,employee,700
6327,>1000,0,yes,employee,700
11702,>1000,0,yes,employee,700
17117,>1000,0,yes,employee,700
22492,>1000,0,yes,employee,700
27864,>1000,0,yes,employee,700
33282,>1000,0,yes,employee,700
38674,>1000,0,yes,employee,700
192654,>1000,0,yes,employee,700
198046,>1000,0,yes,employee,700
203503,>1000,0,yes,employee,700
208870,>1000,0,yes,employee,700
214286,>1000,0,yes,employee,700
240440,>1000,0,yes,employee,700
224387,>1000,0,yes,employee,700
230214,>1000,0,yes,employee,700
231149,>1000,0,yes,employee,700
222709,>1000,0,yes,employee,700
244750,>1000,0,yes,employee,700
246142,>1000,0,yes,employee,700
217142,<500,>2,yes,employee,650
